# column2  
#           x                    probability
2.419031309199999669e+01 2.671605883414576027e-02
2.424009588399999870e+01 3.013089342196675208e-02
2.428987867600000072e+01 2.751954932539826468e-02
2.433966146799999919e+01 2.993002079915364419e-02
2.438944425999999766e+01 2.912653030790327696e-02
2.443922705199999967e+01 2.751954932539826468e-02
2.448900984399999814e+01 2.551082309726518393e-02
2.453879263599999661e+01 2.571169572008013410e-02
2.458857542799999862e+01 2.631431358851763283e-02
2.463835822000000064e+01 2.330122424632262088e-02
2.468814101199999911e+01 2.751954932539630097e-02
2.473792380399999757e+01 3.093438391322140754e-02
2.478770659599999959e+01 2.912653030790119876e-02
2.483748938800000161e+01 2.772042194821139338e-02
2.488727217999999652e+01 2.671605883414576027e-02
2.493705497199999854e+01 2.611344096570452147e-02
2.498683776400000056e+01 2.490820522882762969e-02
2.503662055599999903e+01 2.993002079915364419e-02
2.508640334799999749e+01 2.611344096570638457e-02
2.513618613999999951e+01 2.812216719383563851e-02
2.518596893200000153e+01 2.631431358851951327e-02
2.523575172399999644e+01 2.772042194821139338e-02
2.528553451599999846e+01 2.812216719383563851e-02
2.533531730800000048e+01 2.792129457102451862e-02
2.538510009999999895e+01 2.490820522882584986e-02
2.543488289199999741e+01 2.671605883414576027e-02
2.548466568399999943e+01 3.053263866759297826e-02
2.553444847600000145e+01 2.370296949194887134e-02
2.558423126799999636e+01 2.671605883414576027e-02
2.563401405999999838e+01 2.832303981664874640e-02
2.568379685200000040e+01 2.651518621133263504e-02
2.573357964399999886e+01 2.510907785163896122e-02
2.578336243599999733e+01 2.892565768509015173e-02
2.583314522799999935e+01 2.651518621133074419e-02
2.588292802000000137e+01 2.450645998320137575e-02
2.593271081199999628e+01 3.133612915884766148e-02
2.598249360399999830e+01 2.892565768508808394e-02
2.603227639600000032e+01 3.053263866759515707e-02
2.608205918799999878e+01 2.390384211476028961e-02
2.613184197999999725e+01 2.872478506227702302e-02
2.618162477199999927e+01 2.711780407977008173e-02
2.623140756400000129e+01 2.310035162350949564e-02
2.628119035599999620e+01 2.792129457102451862e-02
2.633097314799999822e+01 2.691693145695696690e-02
2.638075594000000024e+01 2.711780407977201421e-02
2.643053873199999870e+01 3.274223751853720665e-02
2.648032152399999717e+01 2.691693145695888550e-02
2.653010431599999919e+01 2.812216719383563851e-02
2.657988710800000121e+01 2.932740293071640220e-02
2.662966989999999612e+01 2.852391243946389779e-02
2.667945269199999814e+01 3.274223751853720665e-02
2.672923548400000016e+01 2.510907785164075492e-02
2.677901827599999862e+01 2.872478506227497258e-02
2.682880106799999709e+01 2.691693145695888550e-02
2.687858385999999911e+01 2.651518621133074419e-02
2.692836665200000112e+01 2.952827555352952396e-02
2.697814944399999604e+01 2.350209686913574264e-02
2.702793223599999806e+01 2.751954932539630097e-02
2.707771502800000007e+01 2.731867670258513944e-02
2.712749781999999854e+01 2.671605883414385554e-02
2.717728061199999701e+01 2.651518621133263504e-02
2.722706340399999903e+01 2.972914817634053283e-02
2.727684619600000104e+01 2.751954932539826468e-02
2.732662898799999951e+01 2.651518621133074419e-02
2.737641177999999798e+01 2.932740293071640220e-02
2.742619457199999999e+01 3.013089342196890313e-02
2.747597736399999846e+01 2.751954932539630097e-02
2.752576015599999693e+01 2.912653030790327696e-02
2.757554294799999894e+01 2.812216719383563851e-02
2.762532574000000096e+01 2.852391243946389779e-02
2.767510853199999943e+01 2.792129457102252715e-02
2.772489132399999789e+01 2.792129457102451862e-02
2.777467411599999991e+01 2.751954932539826468e-02
2.782445690799999838e+01 2.551082309726518393e-02
2.787423969999999684e+01 2.169424326381761206e-02
2.792402249199999886e+01 3.113525653603231233e-02
2.797380528400000088e+01 2.330122424632262088e-02
2.802358807599999935e+01 2.571169572007829529e-02
2.807337086799999781e+01 2.591256834289325933e-02
2.812315365999999983e+01 2.772042194821139338e-02
2.817293645199999830e+01 3.173787440447164987e-02
2.822271924399999676e+01 2.691693145695888550e-02
2.827250203599999878e+01 2.551082309726518393e-02
2.832228482800000080e+01 2.611344096570638457e-02
2.837206761999999927e+01 2.651518621133074419e-02
2.842185041199999773e+01 2.450645998320137575e-02
2.847163320399999975e+01 2.792129457102451862e-02
2.852141599599999822e+01 3.053263866759297826e-02
2.857119878799999668e+01 2.330122424632262088e-02
2.862098157999999870e+01 2.551082309726518393e-02
2.867076437200000072e+01 2.490820522882762969e-02
2.872054716399999919e+01 3.033176604477986690e-02
